English,Arden,Pronunciation
I love you.,Me amare tu.,meh ah-MAH-reh too
You always see me.,Tu visaa me solvar.,too VEE-sah-eh meh SOLE-var
He loved her sadly.,Mile amaro mila sorinii.,MEE-leh ah-MAH-roh MEE-lah soh-ree-NEE
I sit in the back.,Me sede vi torven.,meh SEH-deh vee TOR-ven
You walk to the map.,Tu pase re naven.,too PAH-seh reh NAH-ven
They stand on the tree.,Se stalne ta silvar.,seh STAL-neh tah SEEL-var
I sleep at night.,Me dremo nareth.,meh DREH-mo NAH-reth
You will wake up tomorrow.,Tu alaraabo solivar.,too ah-lah-RAH-boh soh-LEE-var
She will teach them soon.,Mila doceaabo sena veran.,MEE-lah doh-cheh-AH-boh SEH-nah VEH-ran
Maybe I’ll go.,"Meliv, me varbo.",MEH-leev meh VAH-rboh
"Surely, I am well.",Sanii me es melor.,SAH-nee meh es meh-LOR
"I’m leaving, sadly.","Me vare eskren, sorinii.",meh VAH-reh es-KREN soh-ree-NEE
You see a beautiful image.,Tu visaa miran flarinel.,too VEE-sah-eh MEE-ran flah-REE-nel
I sit in a soft chair.,Me sedaa vi selk humel.,meh seh-DAH vee selk HOO-mel
They carry a heavy box.,Sena portaa brunel gravinel.,SEH-nah por-TAH broo-NEL grav-IN-el
My name is Kareth.,Melun namor es Kareth.,MEH-loon NAH-mor es KAH-reth
This tree is green.,Ten silvar es livenel.,ten SEEL-var es LEE-ven-el
Your body is healthy.,Tulun toran es valinel.,TOO-loon TOR-an es VAH-lin-el
They fought with teeth.,Sena valto draskee.,SEH-nah VAL-to DRAHS-kay
You definitely hear me.,Tu morai aude me.,too mor-AI OW-deh meh
