Category,English,Arden (Root),Nominative,Accusative,Genitive,Arden (Adjective)
Clothing,hat,hatn,hatna,hatnam,hatnum,
Clothing,dress,dresn,dresna,dresnam,dresnum,
Clothing,suit,suitn,suitna,suitnam,suitnum,
Clothing,skirt,skirn,skirna,skirnam,skirnum,
Clothing,shirt,shirn,shirna,shirnam,shirnum,
Clothing,tshirt,tshin,tshina,tshinam,tshinum,
Clothing,pants,pantn,pantna,pantnam,pantnum,
Clothing,shoes,shoen,shoena,shoenam,shoenum,
Clothing,pocket,pockn,pockna,pocknam,pocknum,
Clothing,coat,coatn,coatna,coatnam,coatnum,
Clothing,stain,stain,staina,stainam,stainum,
Clothing,clothing,clotn,clotna,clotnam,clotnum,
Location,city,cityn,cityna,citynam,citynum,
Location,house,housn,housna,housnam,housnum,
Location,apartment,aparn,aparna,aparnam,aparnum,
Location,street,stren,strena,strenam,strenum,
Location,road,roadn,roadna,roadnam,roadnum,
Location,airport,airpn,airpna,airpnam,airpnum,
Location,trainstation,train,traina,trainam,trainum,
Location,bridge,bridn,bridna,bridnam,bridnum,
Location,hotel,hoten,hotena,hotenam,hotenum,
Location,restaurant,restn,restna,restnam,restnum,
Location,farm,farmn,farmna,farmnam,farmnum,
Location,court,courn,courna,cournam,cournum,
Location,school,schon,schona,schonam,schonum,
Location,office,offin,offina,offinam,offinum,
Location,room,roomn,roomna,roomnam,roomnum,
Location,town,townn,townna,townnam,townnum,
Location,university,univn,univna,univnam,univnum,
Location,club,clubn,clubna,clubnam,clubnum,
Location,bar,barn,barna,barnam,barnum,
Location,park,parkn,parkna,parknam,parknum,
Location,camp,campn,campna,campnam,campnum,
Location,store,storn,storna,stornam,stornum,
Location,shop,shopn,shopna,shopnam,shopnum,
Location,theater,thean,theana,theanam,theanum,
Location,library,librn,librna,librnam,librnum,
Location,hospital,hospn,hospna,hospnam,hospnum,
Location,church,churn,churna,churnam,churnum,
Location,market,markn,markna,marknam,marknum,
Location,country,counn,counna,counnam,counnum,
Location,building,builn,builna,builnam,builnum,
Location,ground,groun,grouna,grounam,grounum,
Location,space,spacn,spacna,spacnam,spacnum,
Location,bank,bankn,bankna,banknam,banknum,
Location,location,locan,locana,locanam,locanum,
Color,red,,,,,redel
Color,green,,,,,greenel
Color,blue,,,,,blueel
Color,yellow,,,,,yelloel
Color,brown,,,,,brownel
Color,pink,,,,,pinkel
Color,orange,,,,,orangel
Color,black,,,,,blackel
Color,white,,,,,whiteel
Color,gray,,,,,grayel
Color,color,,,,,colorel
People,son,sonn,sonna,sonnam,sonnum,
People,daughter,daugn,daugna,daugnam,daugnum,
People,mother,mothn,mothna,mothnam,mothnum,
People,father,fathn,fathna,fathnam,fathnum,
People,parent,paren,parena,parenam,parenum,
People,baby,babyn,babyna,babynam,babynum,
People,man,mann,manna,mannam,mannum,
People,woman,woman,womana,womanam,womanum,
People,brother,brotn,brotna,brotnam,brotnum,
People,sister,sistn,sistna,sistnam,sistnum,
People,family,famin,famina,faminam,faminum,
People,grandfather,grann,granna,grannam,grannum,
People,grandmother,grann,granna,grannam,grannum,
People,husband,husbn,husbna,husbnam,husbnum,
People,wife,wifen,wifena,wifenam,wifenum,
People,king,kingn,kingna,kingnam,kingnum,
People,queen,queen,queena,queenam,queenum,
People,president,presn,presna,presnam,presnum,
People,neighbor,neign,neigna,neignam,neignum,
People,boy,boyn,boyna,boynam,boynum,
People,girl,girln,girlna,girlnam,girlnum,
